,Name,Value,Value last updated,DOB,Age,Height (m),Nationality,Citizenship,Position,Other positions,Team,Last club,Since,Joined,Contract expiration,Market value history,Transfer history
577,Aaron Wan-Bissaka,€20.00m,"May 27, 2024","Nov 26, 1997",26,1.83,England,[],Right-Back,,Man Utd,,,"Jul 1, 2019","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
578,Eddie Nketiah,€30.00m,"May 27, 2024","May 30, 1999",25,1.75,England,"['England', 'Ghana']",Centre-Forward,"              0
0  Right Winger
1   Left Winger",Arsenal,,,"Jan 1, 2019","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
579,Iliman Ndiaye,€15.00m,"Jun 3, 2024","Mar 6, 2000",24,1.8,Senegal,"['France', 'Senegal']",Centre-Forward,"                    0
0      Second Striker
1  Attacking Midfield",Everton,,,"Jul 3, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
580,Erling Haaland,€180.00m,"May 27, 2024","Jul 21, 2000",23,1.95,Norway,"['England', 'Norway']",Centre-Forward,,Man City,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
581,Lukasz Fabianski,€700k,"May 27, 2024","Apr 18, 1985",39,1.9,Poland,['Poland'],Goalkeeper,,West Ham,,,"Jul 1, 2018","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
582,Lesley Ugochukwu,€25.00m,"May 27, 2024","Mar 26, 2004",20,1.9,France,[],Defensive Midfield,,Chelsea,,,"Aug 1, 2023","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
583,Enes Ünal,€18.00m,"May 27, 2024","May 10, 1997",27,1.87,Türkiye,[],Centre-Forward,,Bournemouth,,,"Jul 1, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
584,James Tarkowski,€13.00m,"May 27, 2024","Nov 19, 1992",31,1.85,England,"['England', 'Poland']",Centre-Back,,Everton,,,"Jul 2, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
585,Nathaniel Phillips,€3.50m,"May 24, 2024","Mar 21, 1997",27,1.9,England,[],Centre-Back,,Liverpool,,,"Jul 1, 2019","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
586,Vitaliy Mykolenko,€28.00m,"May 27, 2024","May 29, 1999",25,1.8,Ukraine,[],Left-Back,,Everton,,,"Jan 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
587,Joe Worrall,€7.50m,"May 31, 2024","Jan 10, 1997",27,1.9,England,[],Centre-Back,,Nottm Forest,,,"Jul 1, 2015","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
588,Lesley Ugochukwu,€25.00m,"May 27, 2024","Mar 26, 2004",20,1.9,France,"['France', 'Nigeria']",Defensive Midfield,"                  0
0  Central Midfield",Chelsea,,,"Aug 1, 2023","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
589,Diego Carlos,€16.00m,"May 27, 2024","Mar 15, 1993",31,1.85,Brazil,[],Centre-Back,,Aston Villa,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
590,Diogo Jota,€50.00m,"May 27, 2024","Dec 4, 1996",27,1.78,Portugal,[],Left Winger,,Liverpool,,,"Sep 19, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
591,Matt Doherty,€3.00m,"May 27, 2024","Jan 16, 1992",32,1.85,Ireland,[],Right-Back,,Wolves,,,"Jul 20, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
592,Sven Botman,€45.00m,"May 27, 2024","Jan 12, 2000",24,1.95,Netherlands,[],Centre-Back,,Newcastle,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
593,Daichi Kamada,€18.00m,"Jun 5, 2024","Aug 5, 1996",27,1.84,Japan,['Japan'],Attacking Midfield,"                  0
0    Second Striker
1  Central Midfield",Crystal Palace,,,"Jul 1, 2024","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
594,Jack Stephens,€2.00m,"May 24, 2024","Jan 27, 1994",30,1.85,England,[],Centre-Back,,Southampton,,,"Jul 1, 2013","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
595,Joe Aribo,€5.00m,"May 24, 2024","Jul 21, 1996",27,1.83,Nigeria,"['England', 'Nigeria']",Central Midfield,"                    0
0  Attacking Midfield
1      Right Midfield",Southampton,,,"Jul 9, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
596,Cole Palmer,€80.00m,"May 27, 2024","May 6, 2002",22,1.89,England,['England'],Attacking Midfield,"                0
0    Right Winger
1  Centre-Forward",Chelsea,,,"Sep 1, 2023","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
597,Leandro Trossard,€35.00m,"May 27, 2024","Dec 4, 1994",29,1.72,Belgium,[],Left Winger,,Arsenal,,,"Jan 20, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
598,Ed Turns,€400k,"Dec 27, 2023","Oct 18, 2002",21,1.86,Wales,"['England', 'Wales']",Centre-Back,,Brighton,,,"Jul 1, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
599,Julio Enciso,€22.00m,"May 27, 2024","Jan 23, 2004",20,1.73,Paraguay,[],Attacking Midfield,,Brighton,,,"Jul 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
600,Amad Diallo,€18.00m,"May 27, 2024","Jul 11, 2002",21,1.73,Cote d'Ivoire,[],Right Winger,,Man Utd,,,"Jan 2, 2021","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
601,Idrissa Gueye,€3.00m,"May 27, 2024","Sep 26, 1989",34,1.74,Senegal,[],Central Midfield,,Everton,,,"Sep 1, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
602,Ronnie Edwards,€3.80m,"Jun 28, 2024","Mar 28, 2003",21,1.85,England,[],Centre-Back,,Southampton,,,"Jul 3, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
603,Scott Carson,€200k,"May 27, 2024","Sep 3, 1985",38,1.88,England,['England'],Goalkeeper,,Man City,,,"Jul 20, 2021","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
604,Martin Ødegaard,€110.00m,"May 27, 2024","Dec 17, 1998",25,1.78,Norway,['Norway'],Attacking Midfield,"                  0
0      Right Winger
1  Central Midfield",Arsenal,,,"Aug 20, 2021","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
605,Mohammed Kudus,€50.00m,"May 27, 2024","Aug 2, 2000",23,1.77,Ghana,[],Attacking Midfield,,West Ham,,,"Aug 27, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
606,Kieffer Moore,€2.00m,"May 24, 2024","Aug 8, 1992",31,1.96,Wales,[],Centre-Forward,,Bournemouth,,,"Jan 31, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
607,Matz Sels,€7.00m,"May 27, 2024","Feb 26, 1992",32,1.88,Belgium,['Belgium'],Goalkeeper,,Nottm Forest,,,"Feb 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
608,Max Kilman,€32.00m,"May 27, 2024","May 23, 1997",27,1.94,England,"['England', 'Ukraine']",Centre-Back,"           0
0  Left-Back",West Ham,,,"Jul 6, 2024","Jun 30, 2031",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
609,Kamaldeen Sulemana,€13.00m,"May 24, 2024","Feb 15, 2002",22,1.75,Ghana,[],Left Winger,,Southampton,,,"Jan 31, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
610,Willy Kambwala,€5.00m,"May 27, 2024","Aug 25, 2004",19,1.92,France,[],Centre-Back,,Man Utd,,,"Jan 1, 2024","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
611,Konstantinos Tsimikas,€22.00m,"May 27, 2024","May 12, 1996",28,1.79,Greece,['Greece'],Left-Back,,Liverpool,,,"Aug 10, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
612,Omar Richards,€2.50m,"May 30, 2024","Feb 15, 1998",26,1.74,England,"['England', 'Jamaica']",Left-Back,"               0
0  Left Midfield",Nottm Forest,,,"Jul 10, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
613,Lewis O'Brien,€5.00m,"May 24, 2024","Oct 14, 1998",25,1.73,England,['England'],Central Midfield,"                    0
0  Attacking Midfield
1  Defensive Midfield",Nottm Forest,,,"Jul 20, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
614,Konstantinos Tsimikas,€22.00m,"May 27, 2024","May 12, 1996",28,1.79,Greece,[],Left-Back,,Liverpool,,,"Aug 10, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
615,Harvey Elliott,€35.00m,"May 27, 2024","Apr 4, 2003",21,1.7,England,['England'],Central Midfield,"                    0
0  Attacking Midfield
1        Right Winger",Liverpool,,,"Jul 1, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
616,Filip Marschall,€800k,"Dec 19, 2023","Apr 24, 2003",21,1.95,England,[],Goalkeeper,,Aston Villa,,,"Jul 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
617,Josh Wilson-Esbrand,€4.00m,"May 24, 2024","Dec 26, 2002",21,1.76,England,"['England', 'Jamaica']",Left-Back,"               0
0  Left Midfield",Man City,,,"Jan 1, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
618,Josko Gvardiol,€75.00m,"May 27, 2024","Jan 23, 2002",22,1.85,Croatia,['Croatia'],Left-Back,"             0
0  Centre-Back",Man City,,,"Aug 5, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
619,Richarlison,€38.00m,"May 27, 2024","May 10, 1997",27,1.84,Brazil,['Brazil'],Centre-Forward,"              0
0   Left Winger
1  Right Winger",Tottenham,,,"Jul 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
620,Rodrigo Bentancur,€35.00m,"May 27, 2024","Jun 25, 1997",27,1.87,Uruguay,['Uruguay'],Central Midfield,"                    0
0  Defensive Midfield",Tottenham,,,"Jan 31, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
621,Samuel Edozie,€8.00m,"May 24, 2024","Jan 28, 2003",21,1.81,England,"['England', 'Nigeria']",Left Winger,"              0
0  Right Winger",Southampton,,,"Sep 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
622,Daniel Iversen,€3.00m,"May 24, 2024","Jul 19, 1997",26,1.91,Denmark,[],Goalkeeper,,Leicester,,,"Jul 1, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
623,Ali Al-Hamadi,€1.00m,"May 24, 2024","Mar 1, 2002",22,1.87,Iraq,"['England', 'Iraq']",Centre-Forward,"              0
0   Left Winger
1  Right Winger",Ipswich,,,"Jan 29, 2024","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
624,Lewis Hall,€18.00m,"May 27, 2024","Sep 8, 2004",19,1.79,England,[],Left-Back,,Newcastle,,,"Jul 1, 2024",-,,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
625,Pierre-Emile Højbjerg,€18.00m,"May 27, 2024","Aug 5, 1995",28,1.85,Denmark,"['France', 'Denmark']",Defensive Midfield,"                  0
0  Central Midfield",Tottenham,,,"Aug 11, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
626,Axel Tuanzebe,€2.20m,"May 24, 2024","Nov 14, 1997",26,1.85,DR Congo,[],Centre-Back,,Ipswich,,,"Sep 8, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
627,Levi Colwill,€50.00m,"May 27, 2024","Feb 26, 2003",21,1.87,England,[],Centre-Back,,Chelsea,,,"Jul 1, 2022","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
628,Gabriel Magalhães,€70.00m,"May 27, 2024","Dec 19, 1997",26,1.9,Brazil,[],Centre-Back,,Arsenal,,,"Sep 1, 2020","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
629,Máximo Perrone,€9.00m,"Jun 7, 2024","Jan 7, 2003",21,1.77,Argentina,[],Defensive Midfield,,Man City,,,"Jan 23, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
630,Ryan Trevitt,€275k,"May 27, 2024","Mar 12, 2003",21,,England,['England'],Central Midfield,"                    0
0  Attacking Midfield",Brentford,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
631,Adam Lallana,€1.00m,"May 27, 2024","May 10, 1988",36,1.72,England,[],Attacking Midfield,,Southampton,,,"Jul 1, 2024","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
632,Jakub Stolarczyk,€400k,"May 24, 2024","Dec 19, 2000",23,1.94,Poland,[],Goalkeeper,,Leicester,,,"Jul 1, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
633,Mohammed Kudus,€50.00m,"May 27, 2024","Aug 2, 2000",23,1.77,Ghana,['Ghana'],Attacking Midfield,"                0
0  Centre-Forward
1    Right Winger",West Ham,,,"Aug 27, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
634,Leif Davis,€9.00m,"May 24, 2024","Dec 31, 1999",24,1.82,England,['England'],Left-Back,"               0
0  Left Midfield",Ipswich,,,"Jul 25, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
635,Micky van de Ven,€55.00m,"May 27, 2024","Apr 19, 2001",23,1.93,Netherlands,[],Centre-Back,,Tottenham,,,"Aug 8, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
636,Willy Boly,€2.50m,"May 27, 2024","Feb 3, 1991",33,1.95,Cote d'Ivoire,"['France', ""Cote d'Ivoire""]",Centre-Back,,Nottm Forest,,,"Sep 1, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
637,Mohamed Salah,€55.00m,"May 27, 2024","Jun 15, 1992",32,1.75,Egypt,[],Right Winger,,Liverpool,,,"Jul 1, 2017","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
638,Mason Holgate,€5.00m,"May 27, 2024","Oct 22, 1996",27,1.87,England,[],Centre-Back,,Everton,,,"Aug 13, 2015","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
639,Kortney Hause,€2.00m,"May 27, 2024","Jul 16, 1995",28,1.91,England,[],Centre-Back,,Aston Villa,,,"Jul 1, 2019","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
640,Kevin Schade,€22.00m,"May 27, 2024","Nov 27, 2001",22,1.85,Germany,[],Right Winger,,Brentford,,,"Jul 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
641,Julián Álvarez,€90.00m,"May 27, 2024","Jan 31, 2000",24,1.7,Argentina,['Argentina'],Centre-Forward,"                0
0  Second Striker
1    Right Winger",Man City,,,"Jan 31, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
642,Chermiti,€9.00m,"May 27, 2024","May 24, 2004",20,1.92,Portugal,[],Centre-Forward,,Everton,,,"Aug 11, 2023","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
643,Sam Morsy,€900k,"May 24, 2024","Sep 10, 1991",32,1.75,Egypt,[],Central Midfield,,Ipswich,,,"Aug 31, 2021","Jun 30, 2024",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
644,Mario Lemina,€10.00m,"May 27, 2024","Sep 1, 1993",30,1.84,Gabon,"['France', 'Gabon']",Defensive Midfield,"                  0
0  Central Midfield",Wolves,,,"Jan 13, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
645,Jean-Ricner Bellegarde,€15.00m,"May 27, 2024","Jun 27, 1998",26,1.72,France,[],Central Midfield,,Wolves,,,"Sep 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
646,Marc Leonard,€450k,"Dec 27, 2023","Dec 19, 2001",22,1.8,Scotland,['Scotland'],Central Midfield,"                    0
0  Defensive Midfield
1  Attacking Midfield",Brighton,,,"Jul 1, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
647,Manuel Akanji,€45.00m,"May 27, 2024","Jul 19, 1995",28,1.88,Switzerland,[],Centre-Back,,Man City,,,"Sep 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
648,Juan Larios,€4.50m,"May 24, 2024","Jan 12, 2004",20,1.7,Spain,['Spain'],Left-Back,,Southampton,,,"Sep 1, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
649,Andy Irving,€2.00m,"May 21, 2024","May 13, 2000",24,1.9,Scotland,[],Central Midfield,,West Ham,,,"Aug 31, 2023","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
650,Luke Shaw,€32.00m,"May 27, 2024","Jul 12, 1995",28,1.78,England,['England'],Left-Back,"             0
0  Centre-Back",Man Utd,,,"Jul 1, 2014","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
651,Tim Iroegbunam,€4.00m,"May 27, 2024","Jun 30, 2003",21,1.83,England,"['England', 'Nigeria']",Central Midfield,"                    0
0  Defensive Midfield",Everton,,,"Jul 1, 2024","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
652,Andreas Pereira,€20.00m,"May 27, 2024","Jan 1, 1996",28,1.78,Brazil,[],Attacking Midfield,,Fulham,,,"Jul 11, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
653,Leander Dendoncker,€7.00m,"Jun 5, 2024","Apr 15, 1995",29,1.88,Belgium,[],Defensive Midfield,,Aston Villa,,,"Sep 1, 2022","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
654,Oscar Bobb,€25.00m,"May 27, 2024","Jul 12, 2003",20,1.75,Norway,"['The Gambia', 'Norway']",Right Winger,"                    0
0  Attacking Midfield
1         Left Winger",Man City,,,"Jul 1, 2023","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
655,Ola Aina,€12.00m,"May 27, 2024","Oct 8, 1996",27,1.84,Nigeria,[],Right-Back,,Nottm Forest,,,"Jul 22, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
656,Jordan Pickford,€22.00m,"May 27, 2024","Mar 7, 1994",30,1.85,England,[],Goalkeeper,,Everton,,,"Jul 1, 2017","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
657,Ryan Fraser,€3.00m,"May 24, 2024","Feb 24, 1994",30,1.63,Scotland,[],Left Winger,,Newcastle,,,"Sep 7, 2020","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
658,Pervis Estupiñán,€30.00m,"May 27, 2024","Jan 21, 1998",26,1.75,Ecuador,[],Left-Back,,Brighton,,,"Aug 16, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
659,James Justin,€15.00m,"May 24, 2024","Feb 23, 1998",26,1.83,England,"['England', 'St. Lucia']",Left-Back,"            0
0  Right-Back",Leicester,,,"Jul 1, 2019","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
660,Tom Heaton,€250k,"May 27, 2024","Apr 15, 1986",38,1.88,England,[],Goalkeeper,,Man Utd,,,"Jul 2, 2021","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
661,Rhys Williams,€1.80m,"May 27, 2024","Feb 3, 2001",23,1.95,England,[],Centre-Back,,Liverpool,,,"Jul 1, 2020","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
662,Luis Díaz,€75.00m,"May 27, 2024","Jan 13, 1997",27,1.8,Colombia,[],Left Winger,,Liverpool,,,"Jan 30, 2022","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
663,Danny Ings,€8.00m,"May 27, 2024","Jul 23, 1992",31,1.77,England,[],Centre-Forward,,West Ham,,,"Jan 20, 2023","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
664,Djordje Petrovic,€20.00m,"May 27, 2024","Oct 8, 1999",24,1.94,Serbia,[],Goalkeeper,,Chelsea,,,"Aug 26, 2023","Jun 30, 2030",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
665,Pedro Neto,€55.00m,"May 27, 2024","Mar 9, 2000",24,1.72,Portugal,[],Right Winger,,Wolves,,,"Aug 2, 2019","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
666,Leon Bailey,€42.00m,"May 27, 2024","Aug 9, 1997",26,1.78,Jamaica,[],Right Winger,,Aston Villa,,,"Aug 4, 2021","Jun 30, 2027",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
667,Brandon Austin,€600k,"May 27, 2024","Jan 8, 1999",25,1.88,England,[],Goalkeeper,,Tottenham,,,"Aug 1, 2021","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
668,Matthew Cox,€800k,"Dec 27, 2023","May 2, 2003",21,1.83,England,[],Goalkeeper,,Brentford,,,"Jul 1, 2022","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
669,Harry Maguire,€18.00m,"May 27, 2024","Mar 5, 1993",31,1.94,England,[],Centre-Back,,Man Utd,,,"Aug 5, 2019","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
670,Luke Thomas,€6.00m,"May 24, 2024","Jun 10, 2001",23,1.81,England,['England'],Left-Back,"               0
0  Left Midfield",Leicester,,,"Jul 1, 2020","Jun 30, 2024",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
671,Conor Gallagher,€50.00m,"May 27, 2024","Feb 6, 2000",24,1.82,England,['England'],Central Midfield,"                    0
0  Defensive Midfield
1  Attacking Midfield",Chelsea,,,"Jul 1, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
672,Pedro Lima,€2.50m,"Jun 14, 2024","Jul 1, 2006",18,1.74,Brazil,[],Right-Back,,Wolves,,,"Jul 1, 2024","Jun 30, 2029",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
673,Ibrahima Konaté,€45.00m,"May 27, 2024","May 25, 1999",25,1.94,France,[],Centre-Back,,Liverpool,,,"Jul 1, 2021","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
674,Alex Iwobi,€25.00m,"May 27, 2024","May 3, 1996",28,1.83,Nigeria,"['England', 'Nigeria']",Left Winger,"                    0
0        Right Winger
1  Attacking Midfield",Fulham,,,"Sep 1, 2023","Jun 30, 2028",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
675,Martin Dúbravka,€1.00m,"May 27, 2024","Jan 15, 1989",35,1.91,Slovakia,"['Slovakia', 'CSSR']",Goalkeeper,,Newcastle,,,"Jul 1, 2018","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
676,Dan Burn,€8.00m,"May 27, 2024","May 9, 1992",32,2.01,England,['England'],Left-Back,"             0
0  Centre-Back",Newcastle,,,"Jan 31, 2022","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
677,Tom Cairney,€2.00m,"May 27, 2024","Jan 20, 1991",33,1.85,Scotland,"['England', 'Scotland']",Central Midfield,"                    0
0  Attacking Midfield
1      Right Midfield",Fulham,,,"Jul 1, 2015","Jun 30, 2025",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
678,Solly March,€18.00m,"May 27, 2024","Jul 20, 1994",29,1.8,England,['England'],Right Winger,"                    0
0         Left Winger
1  Attacking Midfield",Brighton,,,"Jul 1, 2013","Jun 30, 2026",,"Empty DataFrame
Columns: [Season, Date, Left, Joined, MV, Fee]
Index: []"
